Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample1,0.098623917,0,0.038983543,0,0,0.216883123,0,0.003292049,0.002204206,0,0.128477173,0,0.123561707,0,0,0.134865136,0.238089915,0.009108612,0.005226403,0,0.000684217,0,0.002,0.332789998,0.944282618
sample3,0.059167856,0,0.079964326,0.052405546,0,0.086716676,0.012296136,0,0,0,0.036924919,0.025729037,0.111662231,0,0,0.287152707,0.157159119,0,0.072740008,0,0.01808144,0,0,0.444762961,0.898635109
sample5,0.018673823,0,0.033486525,0,0,0.182453041,0,0,0.004914038,0,0.110049425,0.003003903,0.11052574,0,0.007019374,0.351573405,0.126988969,0,0.024474288,0,0.02683747,0,0,0.37826784,0.925814093
sample7,0,0.05958086,0.078344959,0.040488094,0.072377845,0.037478166,0.001339269,0,0,0,0.050949192,0,0.033647906,0,0.012011219,0.302836176,0.206538028,0.005725199,0.098683087,0,0,0,0,0.423870492,0.907298188
sample9,0.158747836,0,0.01725212,0,0.071638633,0.10894911,0,0,0,0,0.065291766,0,0.212740319,0.038734811,0,0.156038676,0.150324127,0,0.020282602,0,0,0,0.008,0.246708298,0.979597505
sample11,0,0.101620277,0.095011889,0,0,0,0.010544668,0.003106109,0,0,0.044030956,0,0.443710342,0.016710976,0.003714436,0.007251463,0.230614234,0,0.027464972,0,0.016219676,0,0.002,0.322780216,0.952038873
sample13,0.087623697,0,0.025005324,0.011431119,0,0.121706598,0,0.007712318,0,0,0,0.036635021,0.26343405,0.110559144,0.001653475,0.077753572,0.249410827,0,0.001837297,0.005237559,0,0,0,0.406809871,0.913975111
sample15,0,0.154481585,0.114390478,0.068490321,0.008650088,0.066316528,0,0,0,0,0.116612301,0,0.081328593,0.042552267,0.002117282,0.148136523,0.141777529,0,0.021445972,0,0.033700534,0,0,0.449895697,0.893921127
sample17,0.082274202,0,0.066145163,0,0,0.114992822,0.000252855,0,0.002546565,0,0.073325288,0.041649197,0.161566256,0,0,0.148649936,0.192810628,0.008093909,0.075483023,0,0.032210158,0,0.006,0.262497185,0.970375462
sample19,0,0.037077291,0.036457576,0,0.009927243,0.114797419,0.013001074,0,0,0,0.069541226,0.004083233,0.100045737,0.005563538,0.00093055,0.289593003,0.206694663,0,0.092543361,0,0.019744086,0,0,0.430555951,0.904736671
sample21,0.090293456,0,0.083941678,0,0,0.245619484,0,0,0,0,0.062303682,0.010573838,0.118310238,0,0.004323132,0.107669037,0.211736227,0,0.044456817,0,0.02077241,0,0.002,0.341810118,0.940207631
sample23,0,0.018556729,0.082654454,0,0.002536915,0.114399233,0.022369609,0,0,0,0.072341545,0.009590708,0.191004675,0.05153307,0.005581336,0.119764984,0.218385169,0,0.063047186,0,0.028234388,0,0.002,0.338307817,0.941866534
